distinct,length
SL_perspire_Boundaries,7
SNO_perspire_Boundaries,5
SOF_perspire_Boundaries,3
SOG_perspire_Boundaries,7
SOS_perspire_Boundaries,6
SVY_perspire_Boundaries,13
SYZ_perspire_Boundaries,7
TA_perspire_Boundaries,5
TIA_perspire_Boundaries,5
TLV_perspire_Boundaries,7
SD_perspire_Boundaries,9
SDF_perspire_Boundaries,9
TRD_perspire_Boundaries,11
TS_perspire_Boundaries,4
TSM_perspire_Boundaries,7
TU_perspire_Boundaries,6
U_perspire_Boundaries,4
UA_perspire_Boundaries,6
UAV_perspire_Boundaries,12
UD_perspire_Boundaries,9
UH_perspire_Boundaries,10
UI_perspire_Boundaries,6
UIN_perspire_Boundaries,6
UJ_perspire_Boundaries,8
UNY_perspire_Boundaries,10
UP_perspire_Boundaries,7
UPJ_perspire_Boundaries,9
VNM_perspire_Boundaries,14
VQ_perspire_Boundaries,6
VUJ_perspire_Boundaries,14
WD_perspire_Boundaries,11
WF_perspire_Boundaries,6
WFD_perspire_Boundaries,11
WG_perspire_Boundaries,10
WI_perspire_Boundaries,6
WJ_perspire_Boundaries,9
WM_perspire_Boundaries,10
WP_perspire_Boundaries,7
WPG_perspire_Boundaries,10
WQ_perspire_Boundaries,6
WW_perspire_Boundaries,10
WWA_perspire_Boundaries,12
XBL_perspire_Boundaries,8
XGU_perspire_Boundaries,11
XIT_perspire_Boundaries,11
XJ_perspire_Boundaries,10
XL_perspire_Boundaries,11
XMA_perspire_Boundaries,16
XP_perspire_Boundaries,9
XRT_perspire_Boundaries,13
XT_perspire_Boundaries,12
XWI_perspire_Boundaries,14
XXW_perspire_Boundaries,18
YDH_perspire_Boundaries,11
YUT_perspire_Boundaries,14
YXW_perspire_Boundaries,19
ZCI_perspire_Boundaries,5
ZGC_perspire_Boundaries,6
ZJY_perspire_Boundaries,11
ZOZ_perspire_Boundaries,6
ZSM_perspire_Boundaries,11
A_perspire_Approach2,5
ACI_perspire_Approach2,8
AEJ_perspire_Approach2,7
AEY_perspire_Approach2,8
AJD_perspire_Approach2,10
AKV_perspire_Approach2,8
ANC_perspire_Approach2,9
ARV_perspire_Approach2,8
AW_perspire_Approach2,9
AX_perspire_Approach2,7
AXF_perspire_Approach2,7
AZ_perspire_Approach2,5
AZH_perspire_Approach2,7
AT_perspire_Approach2,6
B_perspire_Approach2,3
BEV_perspire_Approach2,6
BKQ_perspire_Approach2,8
BLC_perspire_Approach2,7
BO_perspire_Approach2,8
BTM_perspire_Approach2,7
BVD_perspire_Approach2,7
BOC_perspire_Approach2,9
CBS_perspire_Approach2,7
CGY_perspire_Approach2,8
CIO_perspire_Approach2,7
COP_perspire_Approach2,9
CRK_perspire_Approach2,8
CU_perspire_Approach2,5
CUH_perspire_Approach2,8
CV_perspire_Approach2,5
CWC_perspire_Approach2,8
CXS_perspire_Approach2,6
CVG_perspire_Approach2,7
DAQ_perspire_Approach2,9
DCJ_perspire_Approach2,7
DGC_perspire_Approach2,8
DGH_perspire_Approach2,9
DI_perspire_Approach2,5
DIH_perspire_Approach2,6
DJI_perspire_Approach2,6
DMF_perspire_Approach2,7
DMP_perspire_Approach2,9
DP_perspire_Approach2,3
DU_perspire_Approach2,5
DV_perspire_Approach2,5
EDH_perspire_Approach2,6
EHX_perspire_Approach2,8
EL_perspire_Approach2,3
EOB_perspire_Approach2,8
EP_perspire_Approach2,3
ER_perspire_Approach2,4
ETC_perspire_Approach2,4
EU_perspire_Approach2,3
EVG_perspire_Approach2,7
FHP_perspire_Approach2,7
FL_perspire_Approach2,3
FPJ_perspire_Approach2,4
FSB_perspire_Approach2,7
FUX_perspire_Approach2,6
G_perspire_Approach2,3
GC_perspire_Approach2,6
GD_perspire_Approach2,6
GEZ_perspire_Approach2,3
GHJ_perspire_Approach2,8
GM_perspire_Approach2,7
GMU_perspire_Approach2,9
GPS_perspire_Approach2,7
GTB_perspire_Approach2,2
GWG_perspire_Approach2,11
HI_perspire_Approach2,6
HKD_perspire_Approach2,10
HO_perspire_Approach2,8
HBV_perspire_Approach2,8
IA_perspire_Approach2,5
IBY_perspire_Approach2,7
IC_perspire_Approach2,3
IH_perspire_Approach2,5
IN_perspire_Approach2,3
IP_perspire_Approach2,2
IZ_perspire_Approach2,3
JA_perspire_Approach2,8
JB_perspire_Approach2,6
JBR_perspire_Approach2,9
JC_perspire_Approach2,5
JCD_perspire_Approach2,10
JD_perspire_Approach2,9
JHR_perspire_Approach2,8
JJ_perspire_Approach2,5
JNY_perspire_Approach2,8
JO_perspire_Approach2,7
JRA_perspire_Approach2,10
JXD_perspire_Approach2,9
KGO_perspire_Approach2,9
KIW_perspire_Approach2,8
KJ_perspire_Approach2,6
KJP_perspire_Approach2,10
LAC_perspire_Approach2,8
LBP_perspire_Approach2,7
LZT_perspire_Approach2,5
LWC_perspire_Approach2,6
MB_perspire_Approach2,8
MMK_perspire_Approach2,11
MNW_perspire_Approach2,10
MP_perspire_Approach2,6
MY_perspire_Approach2,8
NB_perspire_Approach2,6
ND_perspire_Approach2,5
NJY_perspire_Approach2,7
NPP_perspire_Approach2,7
NUO_perspire_Approach2,9
NWF_perspire_Approach2,6
NWW_perspire_Approach2,8
OGB_perspire_Approach2,9
OGW_perspire_Approach2,10
OMJ_perspire_Approach2,9
OPN_perspire_Approach2,7
P_perspire_Approach2,3
PAZ_perspire_Approach2,7
PD_perspire_Approach2,5
PI_perspire_Approach2,5
PJW_perspire_Approach2,8
PQW_perspire_Approach2,9
PYE_perspire_Approach2,6
PYO_perspire_Approach2,9
RJ_perspire_Approach2,4
RMJ_perspire_Approach2,7
SF_perspire_Approach2,3
SH_perspire_Approach2,6
SL_perspire_Approach2,5
SNO_perspire_Approach2,9
SOF_perspire_Approach2,7
SOG_perspire_Approach2,8
SOS_perspire_Approach2,7
SVY_perspire_Approach2,6
SYZ_perspire_Approach2,7
TA_perspire_Approach2,5
TIA_perspire_Approach2,5
TLV_perspire_Approach2,5
SD_perspire_Approach2,9
SDF_perspire_Approach2,9
TRD_perspire_Approach2,7
TS_perspire_Approach2,5
TSM_perspire_Approach2,8
TU_perspire_Approach2,4
U_perspire_Approach2,3
UA_perspire_Approach2,8
UAV_perspire_Approach2,10
UD_perspire_Approach2,10
UH_perspire_Approach2,6
UI_perspire_Approach2,8
UIN_perspire_Approach2,5
UJ_perspire_Approach2,5
UNY_perspire_Approach2,9
UP_perspire_Approach2,6
UPJ_perspire_Approach2,7
VNM_perspire_Approach2,8
VQ_perspire_Approach2,7
VUJ_perspire_Approach2,7
WD_perspire_Approach2,10
WF_perspire_Approach2,4
WFD_perspire_Approach2,12
WG_perspire_Approach2,10
WI_perspire_Approach2,4
WJ_perspire_Approach2,5
WM_perspire_Approach2,5
WP_perspire_Approach2,7
WPG_perspire_Approach2,8
WQ_perspire_Approach2,7
WW_perspire_Approach2,6
WWA_perspire_Approach2,8
XBL_perspire_Approach2,9
XGU_perspire_Approach2,8
XIT_perspire_Approach2,7
XJ_perspire_Approach2,5
XL_perspire_Approach2,6
XMA_perspire_Approach2,10
XP_perspire_Approach2,7
XRT_perspire_Approach2,8
XT_perspire_Approach2,7
XWI_perspire_Approach2,7
XXW_perspire_Approach2,9
YDH_perspire_Approach2,10
YUT_perspire_Approach2,8
YXW_perspire_Approach2,9
ZCI_perspire_Approach2,5
ZGC_perspire_Approach2,6
ZJY_perspire_Approach2,5
ZOZ_perspire_Approach2,5
ZSM_perspire_Approach2,6
