distinct,length
XT_Average-Regular_Approach1,13
XWI_Average-Regular_Approach1,18
XXW_Average-Regular_Approach1,19
YDH_Average-Regular_Approach1,18
YUT_Average-Regular_Approach1,19
YXW_Average-Regular_Approach1,18
ZCI_Average-Regular_Approach1,12
ZGC_Average-Regular_Approach1,17
ZJY_Average-Regular_Approach1,13
ZOZ_Average-Regular_Approach1,15
ZSM_Average-Regular_Approach1,15
A_arial_Approach1,7
ACI_arial_Approach1,14
AEJ_arial_Approach1,11
AEY_arial_Approach1,12
AJD_arial_Approach1,11
AKV_arial_Approach1,13
ANC_arial_Approach1,16
ARV_arial_Approach1,14
AW_arial_Approach1,17
AX_arial_Approach1,10
AXF_arial_Approach1,12
AZ_arial_Approach1,10
AZH_arial_Approach1,11
AT_arial_Approach1,13
B_arial_Approach1,9
BEV_arial_Approach1,12
BKQ_arial_Approach1,23
BLC_arial_Approach1,21
BO_arial_Approach1,12
BTM_arial_Approach1,15
BVD_arial_Approach1,14
BOC_arial_Approach1,16
CBS_arial_Approach1,18
CGY_arial_Approach1,19
CIO_arial_Approach1,14
COP_arial_Approach1,13
CRK_arial_Approach1,17
CU_arial_Approach1,12
CUH_arial_Approach1,15
CV_arial_Approach1,13
CWC_arial_Approach1,25
CXS_arial_Approach1,22
CVG_arial_Approach1,24
DAQ_arial_Approach1,14
DCJ_arial_Approach1,21
DGC_arial_Approach1,17
DGH_arial_Approach1,14
DI_arial_Approach1,8
DIH_arial_Approach1,9
DJI_arial_Approach1,12
DMF_arial_Approach1,19
DMP_arial_Approach1,16
DP_arial_Approach1,12
DU_arial_Approach1,10
DV_arial_Approach1,10
EDH_arial_Approach1,11
EHX_arial_Approach1,13
EL_arial_Approach1,8
EOB_arial_Approach1,13
EP_arial_Approach1,10
ER_arial_Approach1,9
ETC_arial_Approach1,17
EU_arial_Approach1,10
EVG_arial_Approach1,23
FHP_arial_Approach1,12
FL_arial_Approach1,8
FPJ_arial_Approach1,18
FSB_arial_Approach1,13
FUX_arial_Approach1,14
G_arial_Approach1,12
GC_arial_Approach1,17
GD_arial_Approach1,10
GEZ_arial_Approach1,11
GHJ_arial_Approach1,16
GM_arial_Approach1,14
GMU_arial_Approach1,30
GPS_arial_Approach1,20
GTB_arial_Approach1,18
GWG_arial_Approach1,23
HI_arial_Approach1,3
HKD_arial_Approach1,11
HO_arial_Approach1,10
HBV_arial_Approach1,13
IA_arial_Approach1,8
IB_arial_Approach1,9
IBY_arial_Approach1,11
IC_arial_Approach1,14
IH_arial_Approach1,3
IN_arial_Approach1,8
IP_arial_Approach1,8
IZ_arial_Approach1,8
JA_arial_Approach1,15
JB_arial_Approach1,12
JBR_arial_Approach1,15
JC_arial_Approach1,16
JCD_arial_Approach1,15
JD_arial_Approach1,9
JHR_arial_Approach1,15
JJ_arial_Approach1,13
JNY_arial_Approach1,15
JO_arial_Approach1,11
JRA_arial_Approach1,16
JXD_arial_Approach1,15
KGO_arial_Approach1,17
KIW_arial_Approach1,16
KJ_arial_Approach1,11
KJP_arial_Approach1,15
LAC_arial_Approach1,14
LBP_arial_Approach1,12
LZT_arial_Approach1,10
LWC_arial_Approach1,26
MB_arial_Approach1,14
MMK_arial_Approach1,18
MNW_arial_Approach1,20
MP_arial_Approach1,13
MY_arial_Approach1,13
NB_arial_Approach1,11
ND_arial_Approach1,9
NJY_arial_Approach1,13
NPP_arial_Approach1,13
NUO_arial_Approach1,16
NWF_arial_Approach1,16
NWW_arial_Approach1,22
O_arial_Approach1,7
OGB_arial_Approach1,13
OGW_arial_Approach1,17
OMJ_arial_Approach1,20
OPN_arial_Approach1,14
P_arial_Approach1,8
PAZ_arial_Approach1,13
PD_arial_Approach1,9
PI_arial_Approach1,9
PJW_arial_Approach1,18
PQW_arial_Approach1,19
PYE_arial_Approach1,13
